date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:50:15	24084/24084	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Mar%202019%2003:50:16%20GMT	https://dreamguys.co.in/smarthr/	C:/My%20Web%20Sites/SmartHR2/dreamguys.co.in/smarthr/index.html	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:16	34857/34857	---M-Z	200	added ('OK')	application/javascript	etag:%2280a94e43d6c9d41:0%22	https://consent.cookiebot.com/uc.js	C:/My%20Web%20Sites/SmartHR2/consent.cookiebot.com/uc.js	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:17	0/0	---MC-	410	error ('Gone')	text/html	date:Wed,%2006%20Mar%202019%2003:50:17%20GMT	https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/linkid.js	C:/My%20Web%20Sites/SmartHR2/preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/linkid.c.delayed	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:18	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/SmartHR2/www.google-analytics.com/analytics.js	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:18	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2006%20Mar%202019%2003:50:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/SmartHR2/www.googletagmanager.com/gtm.e5445.delayed	(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:19	88/88	---M--	200	added ('OK')	text/plain	etag:%220d96b533b91d58538a0561e08e747725%22	http://s3.envato.com/robots.txt		(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:19	4582/4582	---M--	200	added ('OK')	image/gif	etag:%22b82fe82bf7b78763e2fb6079e484ba04%22	https://public-assets.envato-static.com/assets/common/pagination_loader-7fb337642f4cde133550f90749ee6eeb94b0d56dce6ae041cacc18c2bae22699.gif	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/common/pagination_loader-7fb337642f4cde133550f90749ee6eeb94b0d56dce6ae041cacc18c2bae22699.gif	(from https://public-assets.envato-static.com/assets/market/core/index-82ef8ec85ef4fe4d64d82c1a0482126f3e45008e84d3aa9d89938d1b81791e1b.css)
03:50:20	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Mar%202019%2003:50:21%20GMT	https://www.googletagmanager.com/robots.txt		(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:21	148/148	---MCZ	200	added ('OK')	text/plain	etag:W/%225c7f02fd-bf%22	https://themeforest.net/robots.txt		(from https://preview.themeforest.net/item/smarthr-bootstrap-admin-panel-template/full_screen_preview/21153150?_ga=2.198023082.409208515.1551843542-48495272.1551843542)
03:50:21	204023/204023	---MCZ	200	added ('OK')	text/css	date:Thu,%2021%20Feb%202019%2004:40:53%20GMT	https://public-assets.envato-static.com/assets/market/pages/default/index-fce374f082d58950f69b3d59bc9ac39524d2957ebefecb0a4cb83d70244ed36a.css	C:/My%20Web%20Sites/SmartHR2/public-assets.envato-static.com/assets/market/pages/default/index-fce374f082d58950f69b3d59bc9ac39524d2957ebefecb0a4cb83d70244ed36a.css	(from https://themeforest.net/item/smarthr-bootstrap-admin-panel-template/21153150)
